truth_binary,embryo_call,n,evaluation_label,classifier,rule_name
abnormal,abnormal,342,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome
normal,abnormal,148,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome
abnormal,normal,156,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome
normal,normal,104,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome
abnormal,abnormal,156,out-of-sample evaluation,threshold,ge_2_abnormal_chromosomes
normal,abnormal,51,out-of-sample evaluation,threshold,ge_2_abnormal_chromosomes
abnormal,normal,342,out-of-sample evaluation,threshold,ge_2_abnormal_chromosomes
normal,normal,201,out-of-sample evaluation,threshold,ge_2_abnormal_chromosomes
abnormal,abnormal,73,out-of-sample evaluation,threshold,ge_3_abnormal_chromosomes
normal,abnormal,14,out-of-sample evaluation,threshold,ge_3_abnormal_chromosomes
abnormal,normal,425,out-of-sample evaluation,threshold,ge_3_abnormal_chromosomes
normal,normal,238,out-of-sample evaluation,threshold,ge_3_abnormal_chromosomes
abnormal,abnormal,55,out-of-sample evaluation,bayesian,ge_1_abnormal_chromosome
normal,abnormal,16,out-of-sample evaluation,bayesian,ge_1_abnormal_chromosome
abnormal,normal,443,out-of-sample evaluation,bayesian,ge_1_abnormal_chromosome
normal,normal,236,out-of-sample evaluation,bayesian,ge_1_abnormal_chromosome
abnormal,abnormal,15,out-of-sample evaluation,bayesian,ge_2_abnormal_chromosomes
normal,abnormal,1,out-of-sample evaluation,bayesian,ge_2_abnormal_chromosomes
abnormal,normal,483,out-of-sample evaluation,bayesian,ge_2_abnormal_chromosomes
normal,normal,251,out-of-sample evaluation,bayesian,ge_2_abnormal_chromosomes
abnormal,abnormal,6,out-of-sample evaluation,bayesian,ge_3_abnormal_chromosomes
abnormal,normal,492,out-of-sample evaluation,bayesian,ge_3_abnormal_chromosomes
normal,normal,252,out-of-sample evaluation,bayesian,ge_3_abnormal_chromosomes
abnormal,abnormal,39,out-of-sample evaluation,threshold,mean_absolute_signal
normal,abnormal,6,out-of-sample evaluation,threshold,mean_absolute_signal
abnormal,normal,459,out-of-sample evaluation,threshold,mean_absolute_signal
normal,normal,246,out-of-sample evaluation,threshold,mean_absolute_signal
abnormal,abnormal,39,out-of-sample evaluation,threshold,sum_absolute_signal
normal,abnormal,6,out-of-sample evaluation,threshold,sum_absolute_signal
abnormal,normal,459,out-of-sample evaluation,threshold,sum_absolute_signal
normal,normal,246,out-of-sample evaluation,threshold,sum_absolute_signal
abnormal,abnormal,62,out-of-sample evaluation,bayesian,mean_posterior_signal
normal,abnormal,11,out-of-sample evaluation,bayesian,mean_posterior_signal
abnormal,normal,436,out-of-sample evaluation,bayesian,mean_posterior_signal
normal,normal,241,out-of-sample evaluation,bayesian,mean_posterior_signal
abnormal,abnormal,62,out-of-sample evaluation,bayesian,sum_posterior_signal
normal,abnormal,11,out-of-sample evaluation,bayesian,sum_posterior_signal
abnormal,normal,436,out-of-sample evaluation,bayesian,sum_posterior_signal
normal,normal,241,out-of-sample evaluation,bayesian,sum_posterior_signal
