embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split,evaluation_label,classifier,rule_name,embryo_call
sim_0002,abnormal,10.350035257404642,22,1,0,0.28416200681736004,6.25156414998192,0.1634568734147642,3.5960512151248123,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0003,normal,11.24028881686215,22,0,0,0.2106523296865499,4.634351253104098,0.1399591078195146,3.079100372029321,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0005,abnormal,9.404440071475085,22,0,0,0.23933699388074203,5.265413865376324,0.1454652151647577,3.2002347336246695,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0007,abnormal,15.28149550879686,22,3,0,0.2762376363080749,6.077227998777648,0.22881146663546104,5.033852265980142,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0010,abnormal,12.293141548143472,22,1,0,0.23812975194327826,5.238854542752122,0.16371102314401076,3.601642509168237,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0012,abnormal,8.682377687841504,22,5,0,0.338331038956967,7.443282857053274,0.20333391904602705,4.473346219012595,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0017,abnormal,10.035080816344989,22,0,0,0.2547526783995234,5.604558924789515,0.14558431799635074,3.202854995919716,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0018,normal,9.144447837895243,22,0,0,0.16155040009935506,3.5541088021858114,0.12254223482448683,2.69592916613871,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0019,normal,11.114102721625379,22,2,0,0.22513204411060084,4.952904970433218,0.1699202710012202,3.7382459620268444,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0020,normal,12.882109926703096,22,1,0,0.3194724217732243,7.028393279010935,0.19878955104474974,4.373370122984494,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0022,normal,6.183610140151922,22,0,0,0.2771018232391646,6.096240111261621,0.13740558750408105,3.0229229250897833,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0028,normal,15.115430055977617,22,0,0,0.23053624525760139,5.071797395667231,0.1726267647220357,3.797788823884785,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0029,normal,7.401840252243542,22,0,0,0.2544623172675031,5.598170979885069,0.13715520609630483,3.017414534118706,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0031,ambiguous,11.08995441448267,22,0,0,0.2114464861711101,4.651822695764421,0.1457467270862135,3.2064279958966972,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0033,ambiguous,6.775084453667865,22,1,0,0.28523037960015085,6.275068351203318,0.15374030251373733,3.382286655302221,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0035,abnormal,11.13836103265894,22,2,0,0.29649832195538867,6.52296308301855,0.1934183065639946,4.255202744407882,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0037,normal,14.274559449412653,22,0,0,0.20175185687981118,4.438540851355846,0.15462449402158668,3.4017388684749066,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0040,abnormal,5.4199970738126035,22,3,0,0.3142405952399771,6.913293095279497,0.15198987787617033,3.343777313275747,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0043,abnormal,6.839211345628797,22,0,0,0.29099673901460354,6.401928258321278,0.14324396922126353,3.151367322867798,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0044,abnormal,14.27100839531603,22,1,0,0.24017506049218515,5.283851330828073,0.1732348471703636,3.8111666377479994,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0046,normal,6.259196103668094,22,3,0,0.2518727422270101,5.541200328994222,0.14699331886965206,3.233853015132345,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0048,normal,10.166475625654726,22,1,0,0.2505902556446641,5.51298562418261,0.1615026423218132,3.55305813107989,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0050,normal,11.393348764056999,22,1,0,0.25331429862774363,5.57291456981036,0.1601107524844012,3.522436554656827,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0051,ambiguous,5.7015809720500075,22,0,0,0.28692276065566175,6.312300734424558,0.1409861766613104,3.101695886548829,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0052,abnormal,8.387233482095807,22,3,0,0.26339923853826896,5.794783247841917,0.17050691554740038,3.7511521420428084,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0059,ambiguous,10.177315221653558,22,2,1,0.3136155903978854,6.8995429887534785,0.19833704513442446,4.363414992957338,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0063,abnormal,33.06095450960913,22,0,2,0.19112977892716398,4.204855136397607,0.20042531140834138,4.40935685098351,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0064,abnormal,8.830151332673136,22,0,0,0.2112583313613954,4.647683289950699,0.12893611497731383,2.8365945295009043,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0069,abnormal,5.868910059609126,22,2,0,0.30032164826530866,6.607076261836791,0.15796959416208778,3.475331071565931,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0070,abnormal,8.05332211741347,22,1,0,0.19402106693831944,4.2684634726430275,0.1307675588918568,2.8768862956208494,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0071,ambiguous,22.56634645564371,22,3,3,0.27167861631710455,5.9769295589763,0.30384810016078717,6.684658203537317,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0073,ambiguous,8.205567199193936,22,1,0,0.2516872488439895,5.53711947456777,0.14536841404252604,3.198105108935573,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0075,normal,7.841869270529186,22,1,0,0.2813835019621664,6.190437043167661,0.15339410106220128,3.3746702233684283,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0076,abnormal,10.861381294523312,22,0,0,0.18128555522666445,3.9882822149866177,0.12855588967381748,2.8282295728239846,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0078,abnormal,8.635899827084717,22,3,0,0.3295921664770983,7.251027662496163,0.1866089325622139,4.105396516368706,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0079,normal,8.766176874387709,22,1,0,0.2335865165618823,5.138903364361411,0.15046673137726765,3.3102680902998887,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0080,ambiguous,17.91119206487485,22,1,0,0.1687646024702733,3.712821254346013,0.17429807547541618,3.8345576604591556,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0082,ambiguous,21.410342089226308,22,0,0,0.2007873730556465,4.417322207224223,0.1703495405454159,3.7476898919991495,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0087,abnormal,5.143508984929748,22,2,0,0.31141471451112857,6.8511237192448275,0.14636028646612395,3.219926302254727,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0089,normal,7.720210691279664,22,1,0,0.22401605519586054,4.928353214308932,0.13657829894890744,3.0047225768759636,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0091,ambiguous,11.243305052057005,22,0,0,0.19184987741166556,4.220697303056642,0.12801995230084637,2.81643895061862,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0096,normal,12.520352437994896,22,0,0,0.2374305663067481,5.223472458748459,0.14112006609429878,3.104641454074573,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0097,ambiguous,10.14683945081532,22,0,0,0.20518358476378312,4.514038864803228,0.13592578151820964,2.990367193400612,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0098,abnormal,9.22470804261681,22,2,0,0.27958002297614476,6.150760505475185,0.17431760184101416,3.8349872405023118,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0101,normal,16.705631431894965,22,1,1,0.19550380238037451,4.30108365236824,0.18078079733835256,3.9771775414437562,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
