embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split
sim_0001,abnormal,11.708345867638574,22,2,0,0.28646403318853525,6.302208730147775,0.1939236454055222,4.2663201989214885,calibration
sim_0002,abnormal,10.350035257404642,22,1,0,0.28416200681736004,6.25156414998192,0.1634568734147642,3.5960512151248123,evaluation
sim_0003,normal,11.24028881686215,22,0,0,0.2106523296865499,4.634351253104098,0.1399591078195146,3.079100372029321,evaluation
sim_0004,normal,9.68864717024499,22,0,0,0.2712789998185297,5.968137996007654,0.15540211990044858,3.418846637809869,calibration
sim_0005,abnormal,9.404440071475085,22,0,0,0.23933699388074203,5.265413865376324,0.1454652151647577,3.2002347336246695,evaluation
sim_0006,normal,5.770926370910386,22,1,0,0.23690188857705852,5.211841548695287,0.13692663874743483,3.012386052443566,calibration
sim_0007,abnormal,15.28149550879686,22,3,0,0.2762376363080749,6.077227998777648,0.22881146663546104,5.033852265980142,evaluation
sim_0008,ambiguous,16.6575488009585,22,0,0,0.25633096460281674,5.639281221261967,0.1843376275765094,4.055427806683206,calibration
sim_0009,normal,13.536117863884405,22,0,0,0.2248325594969691,4.94631630893332,0.1527405408744872,3.3602918992387187,calibration
sim_0010,abnormal,12.293141548143472,22,1,0,0.23812975194327826,5.238854542752122,0.16371102314401076,3.601642509168237,evaluation
sim_0011,normal,10.294113351044393,22,1,0,0.24673312450696935,5.428128739153325,0.1543377699661962,3.395430939256316,calibration
sim_0012,abnormal,8.682377687841504,22,5,0,0.338331038956967,7.443282857053274,0.20333391904602705,4.473346219012595,evaluation
sim_0013,normal,10.701750901018615,22,0,0,0.17662816740131262,3.8858196828288776,0.12590526071866734,2.7699157358106814,calibration
sim_0014,ambiguous,8.239874846487577,22,0,0,0.19982861653975123,4.396229563874527,0.1272226664897824,2.798898662775213,calibration
sim_0015,normal,12.791713928019798,22,0,0,0.24201949665819214,5.324428926480227,0.14455726977898614,3.180259935137695,calibration
sim_0016,abnormal,11.493356219359233,22,1,0,0.2983897754887049,6.5645750607515065,0.18857946521677527,4.148748234769056,calibration
sim_0017,abnormal,10.035080816344989,22,0,0,0.2547526783995234,5.604558924789515,0.14558431799635074,3.202854995919716,evaluation
sim_0018,normal,9.144447837895243,22,0,0,0.16155040009935506,3.5541088021858114,0.12254223482448683,2.69592916613871,evaluation
sim_0019,normal,11.114102721625379,22,2,0,0.22513204411060084,4.952904970433218,0.1699202710012202,3.7382459620268444,evaluation
sim_0020,normal,12.882109926703096,22,1,0,0.3194724217732243,7.028393279010935,0.19878955104474974,4.373370122984494,evaluation
sim_0021,normal,16.410061402842516,22,1,0,0.19890521198537647,4.375914663678283,0.16377141342943907,3.6029710954476597,calibration
sim_0022,normal,6.183610140151922,22,0,0,0.2771018232391646,6.096240111261621,0.13740558750408105,3.0229229250897833,evaluation
sim_0023,normal,8.107124706031943,22,1,0,0.18716447339665135,4.11761841472633,0.13322703667281877,2.9309948068020124,calibration
